Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2614,"Citrus, Other",2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2630,Coffee and products,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2635,Tea (including mate),2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2767,"Molluscs, Other",2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2680,Infant food,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2899,Miscellaneous,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2537,Sugar beet,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2559,Cottonseed,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2562,Palm kernels,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2640,Pepper,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2642,Cloves,2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2781,"Fish, Body Oil",2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2782,"Fish, Liver Oil",2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2768,"Meat, Aquatic Mammals",2013,2013,kcal/capita/day,0,Fc,Calculated data
FBS,Food Balance Sheets,5000,World,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2013,2013,kcal/capita/day,0,Fc,Calculated data
